cve_id,cwe_id
CVE-2005-4891,CWE-89
CVE-2005-10001,CWE-601
CVE-2005-10002,CWE-22
CVE-2005-10003,CWE-78
CVE-2005-2352,CWE-362
CVE-2005-2350,CWE-79
CVE-2005-2349,CWE-22
CVE-2016-7394,CWE-79
CVE-2016-7398,CWE-704
CVE-2016-4289,CWE-787
CVE-2016-9063,CWE-190
CVE-2016-9048,CWE-89
CVE-2016-9064,CWE-295
CVE-2016-9044,CWE-77
CVE-2016-9069,CWE-416
CVE-2016-9078,CWE-601
CVE-2016-9067,CWE-416
CVE-2016-9045,CWE-502
CVE-2016-9043,CWE-787
CVE-2016-9068,CWE-416
CVE-2016-9077,CWE-362
CVE-2016-9038,CWE-362
CVE-2016-4761,CWE-416
CVE-2016-1573,CWE-416
CVE-2016-10992,CWE-79
CVE-2016-10916,CWE-89
CVE-2016-10936,CWE-79
CVE-2016-10973,CWE-79
CVE-2016-10981,CWE-79
CVE-2016-10988,CWE-79
CVE-2016-10931,CWE-295
CVE-2016-10943,CWE-89
CVE-2016-10925,CWE-79
CVE-2016-10996,CWE-863
CVE-2016-10913,CWE-79
CVE-2016-10949,CWE-89
CVE-2016-10918,CWE-352
CVE-2016-10976,CWE-79
CVE-2016-10951,CWE-89
CVE-2016-10934,CWE-79
CVE-2016-10986,CWE-79
CVE-2016-10947,CWE-89
CVE-2016-10910,CWE-79
CVE-2016-10962,CWE-352
CVE-2016-10966,CWE-22
CVE-2016-10980,CWE-79
CVE-2016-10998,CWE-79
CVE-2016-10946,CWE-352
CVE-2016-10970,CWE-79
CVE-2016-10919,CWE-79
CVE-2016-10917,CWE-89
CVE-2016-10989,CWE-352
CVE-2016-10911,CWE-79
CVE-2016-10967,CWE-79
CVE-2016-10908,CWE-79
CVE-2016-10979,CWE-79
CVE-2016-10958,CWE-434
CVE-2016-10938,CWE-352
CVE-2016-10957,CWE-79
CVE-2016-10901,CWE-79
CVE-2016-10984,CWE-79
CVE-2016-10964,CWE-79
CVE-2016-10921,CWE-89
CVE-2016-10965,CWE-22
CVE-2016-10982,CWE-352
CVE-2016-10914,CWE-352
CVE-2016-10924,CWE-22
CVE-2016-10954,CWE-434
CVE-2016-10952,CWE-79
CVE-2016-10961,CWE-79
CVE-2016-10904,CWE-89
CVE-2016-10937,CWE-295
CVE-2016-10912,CWE-79
CVE-2016-10959,CWE-434
CVE-2016-10978,CWE-352
CVE-2016-10974,CWE-352
CVE-2016-10993,CWE-79
CVE-2016-10939,CWE-89
CVE-2016-10994,CWE-79
CVE-2016-10927,CWE-918
CVE-2016-10942,CWE-89
CVE-2016-10985,CWE-79
CVE-2016-10945,CWE-352
CVE-2016-10900,CWE-79
CVE-2016-10955,CWE-434
CVE-2016-10963,CWE-79
CVE-2016-10902,CWE-352
CVE-2016-10995,CWE-434
CVE-2016-10903,CWE-352
CVE-2016-10909,CWE-89
CVE-2016-10950,CWE-89
CVE-2016-10944,CWE-352
CVE-2016-10926,CWE-918
CVE-2016-10997,CWE-352
CVE-2016-10928,CWE-798
CVE-2016-10990,CWE-79
CVE-2016-10953,CWE-79
CVE-2016-10987,CWE-79
CVE-2016-10999,CWE-79
CVE-2016-10977,CWE-22
CVE-2016-10941,CWE-79
CVE-2016-10915,CWE-352
CVE-2016-10975,CWE-79
CVE-2016-10940,CWE-89
CVE-2016-10920,CWE-79
CVE-2016-10969,CWE-79
CVE-2016-10008,CWE-89
CVE-2016-10007,CWE-89
CVE-2016-10036,CWE-434
