cwe_id,vulnerability_mapping,abstraction
5,ALLOWED,Variant
6,ALLOWED,Variant
7,ALLOWED,Variant
8,ALLOWED,Variant
9,ALLOWED,Variant
11,ALLOWED,Variant
12,ALLOWED,Variant
13,ALLOWED,Variant
14,ALLOWED,Variant
15,ALLOWED,Base
20,DISCOURAGED,Class
22,ALLOWED,Base
23,ALLOWED,Base
24,ALLOWED,Variant
25,ALLOWED,Variant
26,ALLOWED,Variant
27,ALLOWED,Variant
28,ALLOWED,Variant
29,ALLOWED,Variant
30,ALLOWED,Variant
31,ALLOWED,Variant
32,ALLOWED,Variant
33,ALLOWED,Variant
34,ALLOWED,Variant
35,ALLOWED,Variant
36,ALLOWED,Base
37,ALLOWED,Variant
38,ALLOWED,Variant
39,ALLOWED,Variant
40,ALLOWED,Variant
41,ALLOWED,Base
42,ALLOWED,Variant
43,ALLOWED,Variant
44,ALLOWED,Variant
45,ALLOWED,Variant
46,ALLOWED,Variant
47,ALLOWED,Variant
48,ALLOWED,Variant
49,ALLOWED,Variant
50,ALLOWED,Variant
51,ALLOWED,Variant
52,ALLOWED,Variant
53,ALLOWED,Variant
54,ALLOWED,Variant
55,ALLOWED,Variant
56,ALLOWED,Variant
57,ALLOWED,Variant
58,ALLOWED,Variant
59,ALLOWED,Base
61,ALLOWED,Composite
62,ALLOWED,Variant
64,ALLOWED,Variant
65,ALLOWED,Variant
66,ALLOWED,Base
67,ALLOWED,Variant
69,ALLOWED,Variant
72,ALLOWED,Variant
73,ALLOWED,Base
74,DISCOURAGED,Class
75,DISCOURAGED,Class
76,ALLOWED,Base
77,ALLOWED-WITH-REVIEW,Class
78,ALLOWED,Base
79,ALLOWED,Base
80,ALLOWED,Variant
81,ALLOWED,Variant
82,ALLOWED,Variant
83,ALLOWED,Variant
84,ALLOWED,Variant
85,ALLOWED,Variant
86,ALLOWED,Variant
87,ALLOWED,Variant
88,ALLOWED,Base
89,ALLOWED,Base
90,ALLOWED,Base
91,ALLOWED,Base
93,ALLOWED,Base
94,ALLOWED,Base
95,ALLOWED,Variant
96,ALLOWED,Base
97,ALLOWED,Variant
98,ALLOWED,Variant
99,ALLOWED-WITH-REVIEW,Class
102,ALLOWED,Variant
103,ALLOWED,Variant
104,ALLOWED,Variant
105,ALLOWED,Variant
106,ALLOWED,Variant
107,ALLOWED,Variant
108,ALLOWED,Variant
109,ALLOWED,Variant
110,ALLOWED,Variant
111,ALLOWED,Variant
112,ALLOWED,Base
113,ALLOWED,Variant
114,ALLOWED-WITH-REVIEW,Class
115,ALLOWED,Base
116,ALLOWED-WITH-REVIEW,Class
117,ALLOWED,Base
118,DISCOURAGED,Class
119,DISCOURAGED,Class
120,ALLOWED,Base
121,ALLOWED,Variant
122,ALLOWED,Variant
123,ALLOWED,Base
124,ALLOWED,Base
125,ALLOWED,Base
126,ALLOWED,Variant
127,ALLOWED,Variant
128,ALLOWED,Base
129,ALLOWED,Variant
130,ALLOWED,Base
131,ALLOWED,Base
134,ALLOWED,Base
135,ALLOWED,Base
138,DISCOURAGED,Class
140,ALLOWED,Base
141,ALLOWED,Variant
142,ALLOWED,Variant
143,ALLOWED,Variant
144,ALLOWED,Variant
145,ALLOWED,Variant
146,ALLOWED,Variant
147,ALLOWED,Variant
148,ALLOWED,Variant
149,ALLOWED,Variant
150,ALLOWED,Variant
151,ALLOWED,Variant
152,ALLOWED,Variant
153,ALLOWED,Variant
154,ALLOWED,Variant
155,ALLOWED,Variant
156,ALLOWED,Variant
157,ALLOWED,Variant
158,ALLOWED,Variant
159,ALLOWED-WITH-REVIEW,Class
160,ALLOWED,Variant
161,ALLOWED,Variant
162,ALLOWED,Variant
163,ALLOWED,Variant
164,ALLOWED,Variant
165,ALLOWED,Variant
166,ALLOWED,Base
167,ALLOWED,Base
168,ALLOWED,Base
170,ALLOWED,Base
172,ALLOWED-WITH-REVIEW,Class
173,ALLOWED,Variant
174,ALLOWED,Variant
175,ALLOWED,Variant
176,ALLOWED,Variant
177,ALLOWED,Variant
178,ALLOWED,Base
179,ALLOWED,Base
180,ALLOWED,Variant
181,ALLOWED,Variant
182,ALLOWED,Base
183,ALLOWED,Base
184,ALLOWED,Base
185,ALLOWED-WITH-REVIEW,Class
186,ALLOWED,Base
187,ALLOWED,Variant
188,ALLOWED,Base
190,ALLOWED,Base
191,ALLOWED,Base
192,ALLOWED,Variant
193,ALLOWED,Base
194,ALLOWED,Variant
195,ALLOWED,Variant
196,ALLOWED,Variant
197,ALLOWED,Base
198,ALLOWED,Base
200,DISCOURAGED,Class
201,ALLOWED,Base
202,ALLOWED,Variant
203,ALLOWED,Base
204,ALLOWED,Base
205,ALLOWED,Base
206,ALLOWED,Variant
207,ALLOWED,Variant
208,ALLOWED,Base
209,ALLOWED,Base
210,ALLOWED,Base
211,ALLOWED,Base
212,ALLOWED,Base
213,ALLOWED,Base
214,ALLOWED,Base
215,ALLOWED,Base
219,ALLOWED,Variant
220,ALLOWED,Variant
221,ALLOWED-WITH-REVIEW,Class
222,ALLOWED,Base
223,ALLOWED,Base
224,ALLOWED,Base
226,ALLOWED,Base
228,ALLOWED-WITH-REVIEW,Class
229,ALLOWED,Base
230,ALLOWED,Variant
231,ALLOWED,Variant
232,ALLOWED,Variant
233,ALLOWED,Base
234,ALLOWED,Variant
235,ALLOWED,Variant
236,ALLOWED,Variant
237,ALLOWED,Base
238,ALLOWED,Variant
239,ALLOWED,Variant
240,ALLOWED,Base
241,ALLOWED,Base
242,ALLOWED,Base
243,ALLOWED,Variant
244,ALLOWED,Variant
245,ALLOWED,Variant
246,ALLOWED,Variant
248,ALLOWED,Base
250,ALLOWED,Base
252,ALLOWED,Base
253,ALLOWED,Base
256,ALLOWED,Base
257,ALLOWED,Base
258,ALLOWED,Variant
259,ALLOWED,Variant
260,ALLOWED,Base
261,ALLOWED,Base
262,ALLOWED,Base
263,ALLOWED,Base
266,ALLOWED,Base
267,ALLOWED,Base
268,ALLOWED,Base
269,DISCOURAGED,Class
270,ALLOWED,Base
271,ALLOWED-WITH-REVIEW,Class
272,ALLOWED,Base
273,ALLOWED,Base
274,ALLOWED,Base
276,ALLOWED,Base
277,ALLOWED,Variant
278,ALLOWED,Variant
279,ALLOWED,Variant
280,ALLOWED,Base
281,ALLOWED,Base
282,ALLOWED-WITH-REVIEW,Class
283,ALLOWED,Base
284,DISCOURAGED,Pillar
285,DISCOURAGED,Class
286,ALLOWED-WITH-REVIEW,Class
287,DISCOURAGED,Class
288,ALLOWED,Base
289,ALLOWED,Variant
290,ALLOWED,Base
291,ALLOWED,Variant
293,ALLOWED,Variant
294,ALLOWED,Base
295,ALLOWED,Base
296,ALLOWED,Base
297,ALLOWED,Variant
298,ALLOWED,Variant
299,ALLOWED,Base
300,DISCOURAGED,Class
301,ALLOWED,Variant
302,ALLOWED,Variant
303,ALLOWED,Base
304,ALLOWED,Base
305,ALLOWED,Base
306,ALLOWED,Base
307,ALLOWED,Base
308,ALLOWED,Base
309,ALLOWED,Base
311,DISCOURAGED,Class
312,ALLOWED,Base
313,ALLOWED,Variant
314,ALLOWED,Variant
315,ALLOWED,Variant
316,ALLOWED,Variant
317,ALLOWED,Variant
318,ALLOWED,Variant
319,ALLOWED,Base
321,ALLOWED,Variant
322,ALLOWED,Base
323,ALLOWED,Variant
324,ALLOWED,Base
325,ALLOWED,Base
326,ALLOWED-WITH-REVIEW,Class
327,ALLOWED-WITH-REVIEW,Class
328,ALLOWED,Base
329,ALLOWED,Variant
330,DISCOURAGED,Class
331,ALLOWED,Base
332,ALLOWED,Variant
333,ALLOWED,Variant
334,ALLOWED,Base
335,ALLOWED,Base
336,ALLOWED,Variant
337,ALLOWED,Variant
338,ALLOWED,Base
339,ALLOWED,Variant
340,ALLOWED-WITH-REVIEW,Class
341,ALLOWED,Base
342,ALLOWED,Base
343,ALLOWED,Base
344,ALLOWED,Base
345,DISCOURAGED,Class
346,ALLOWED-WITH-REVIEW,Base
347,ALLOWED,Base
348,ALLOWED,Base
349,ALLOWED,Base
350,ALLOWED,Variant
351,ALLOWED,Base
352,ALLOWED,Composite
353,ALLOWED,Base
354,ALLOWED,Base
356,ALLOWED,Base
357,ALLOWED,Base
358,ALLOWED,Base
359,ALLOWED,Base
360,ALLOWED,Base
362,ALLOWED-WITH-REVIEW,Class
363,ALLOWED,Base
364,ALLOWED,Base
366,ALLOWED,Base
367,ALLOWED,Base
368,ALLOWED,Base
369,ALLOWED,Base
370,ALLOWED,Variant
372,ALLOWED,Base
374,ALLOWED,Base
375,ALLOWED,Base
