,cve_id,cwe_id,vendor,product,package_type,software_type,language
0,CVE-2005-4891,CWE-89,simplemachines,simple_machine_forum,github,web_app,PHP
1,CVE-2016-7398,CWE-704,php,ext-http,github,framework,C
2,CVE-2016-10992,CWE-79,codepeople,music_store,github,extension,PHP
3,CVE-2016-10916,CWE-89,codepeople,appointment_booking_calendar,github,extension,PHP
4,CVE-2016-10936,CWE-79,wp-polls_project,wp-polls,github,extension,PHP
5,CVE-2016-10973,CWE-79,brafton,brafton,github,extension,PHP
6,CVE-2016-10981,CWE-79,kentothemes,kento-post-view-counter,github,extension,PHP
7,CVE-2016-10988,CWE-79,leenk,leenk.me,github,extension,PHP
8,CVE-2016-10996,CWE-863,optinmonster,optinmonster,github,extension,PHP
9,CVE-2016-10913,CWE-79,joomunited,wp_latest_posts,github,extension,PHP
10,CVE-2016-10949,CWE-89,relevanssi,relevanssi,github,extension,PHP
11,CVE-2016-10918,CWE-352,supsystic,photo_gallery,github,extension,JavaScript
12,CVE-2016-10976,CWE-79,kodebyraaet,safe_editor,github,extension,JavaScript
13,CVE-2016-10934,CWE-79,check_email_project,check_email,github,extension,PHP
14,CVE-2016-10986,CWE-79,nerdcow,tweet_wheel,github,extension,PHP
15,CVE-2016-10947,CWE-89,post_indexer_project,post_indexer,github,extension,PHP
16,CVE-2016-10980,CWE-79,kentothemes,kento-post-view-counter,github,extension,PHP
17,CVE-2016-10946,CWE-352,wp-d3_project,wp-d3,github,extension,CSS
18,CVE-2016-10970,CWE-79,supportflow_project,supportflow,github,extension,PHP
19,CVE-2016-10919,CWE-79,wassup_real_time_analytics_project,wassup_real_time_analytics,github,extension,PHP
20,CVE-2016-10917,CWE-89,search_everything_project,search_everything,github,extension,PHP
21,CVE-2016-10989,CWE-352,leenk,leenk.me,github,extension,PHP
22,CVE-2016-10911,CWE-79,cozmoslabs,profile_builder,github,extension,PHP
23,CVE-2016-10908,CWE-79,codepeople,booking_calendar_contact_form,github,extension,PHP
24,CVE-2016-10979,CWE-79,fossura,tag_miner,github,extension,PHP
25,CVE-2016-10958,CWE-434,estatik,estatik,github,extension,PHP
26,CVE-2016-10938,CWE-352,copy-me_project,copy-me,github,extension,PHP
27,CVE-2016-10901,CWE-79,gowebsolutions,wp_customer_reviews,github,extension,PHP
28,CVE-2016-10984,CWE-79,smackcoders,echo_sign,github,extension,PHP
29,CVE-2016-10982,CWE-352,kentothemes,kento-post-view-counter,github,extension,PHP
30,CVE-2016-10952,CWE-79,quotes_collection_project,quotes_collection,github,extension,PHP
31,CVE-2016-10904,CWE-89,olimometer_project,olimometer,github,extension,PHP
32,CVE-2016-10912,CWE-79,matchboxdesigngroup,universal_analytics,github,extension,PHP
33,CVE-2016-10959,CWE-434,estatik,estatik,github,extension,PHP
34,CVE-2016-10978,CWE-352,fossura,tag_miner,github,extension,PHP
35,CVE-2016-10974,CWE-352,tonjoostudio,fluid-responsive-slideshow,github,extension,JavaScript
36,CVE-2016-10927,CWE-918,neliosoftware,nelio_ab_testing,github,extension,PHP
37,CVE-2016-10942,CWE-89,podlove,podlove_podcast_publisher,github,extension,PHP
38,CVE-2016-10985,CWE-79,smackcoders,echo_sign,github,extension,PHP
39,CVE-2016-10945,CWE-352,pagelines,pagelines,github,extension,PHP
40,CVE-2016-10902,CWE-352,gowebsolutions,wp_customer_reviews,github,extension,PHP
41,CVE-2016-10903,CWE-352,godaddy,godaddy_email_marketing,github,extension,PHP
42,CVE-2016-10909,CWE-89,codepeople,booking_calendar_contact_form,github,extension,PHP
43,CVE-2016-10950,CWE-89,sirv,sirv,github,extension,PHP
44,CVE-2016-10944,CWE-352,wpmaz,multisite_post_duplicator,github,extension,PHP
45,CVE-2016-10926,CWE-918,neliosoftware,nelio_ab_testing,github,extension,PHP
46,CVE-2016-10928,CWE-798,onelogin,onelogin_saml_sso,github,extension,PHP
47,CVE-2016-10987,CWE-79,woocommerce,persian_woocommerce_sms,github,extension,PHP
48,CVE-2016-10977,CWE-22,neliosoftware,nelio_ab_testing,github,extension,PHP
49,CVE-2016-10941,CWE-79,podlove,podlove_podcast_publisher,github,extension,PHP
50,CVE-2016-10915,CWE-352,supsystic,popup,github,extension,PHP
51,CVE-2016-10975,CWE-79,tonjoostudio,fluid-responsive-slideshow,github,extension,JavaScript
52,CVE-2016-10969,CWE-79,supportflow_project,supportflow,github,extension,PHP
53,CVE-2016-10008,CWE-89,dotcms,dotcms,github,web_app,Java
54,CVE-2016-10007,CWE-89,dotcms,dotcms,github,web_app,Java
55,CVE-2016-15014,CWE-522,cesnet,theme-cesnet,github,extension,PHP
56,CVE-2016-15028,CWE-354,icepay,rest_api,github,library,C#
57,CVE-2016-15005,CWE-352,golf_project,golf,github,library,Go
58,CVE-2016-15017,CWE-22,ecodev,media_upload,github,extension,JavaScript
59,CVE-2016-15027,CWE-79,metaphorcreations,post_duplicator,github,extension,PHP
